location,year,daly,pop65.x,Lit15.x,popm.x,Year,World.Bank.s.income.classification,measure.y,number,pop65.y,Lit15.y,popm.y,population,hdi
afghanistan,1990,10703.50822,2.246573941,NA,50.00924749,2019,Low-income countries,Deaths,488.0419679,2.246573941,NA,50.00924749,10694796,0.284
afghanistan,1991,10310.83166,2.246163322,NA,50.00349459,2019,Low-income countries,Deaths,471.5047249,2.246163322,NA,50.00349459,10745167,0.292
afghanistan,1992,10004.65219,2.25392088,NA,49.99815467,2019,Low-income countries,Deaths,458.0415886,2.25392088,NA,49.99815467,12057433,0.299
afghanistan,1993,9854.989518,2.265066668,NA,50.01257519,2019,Low-income countries,Deaths,450.2207047,2.265066668,NA,50.01257519,14003760,0.307
afghanistan,1994,9766.580145,2.27406917,NA,50.03676025,2019,Low-income countries,Deaths,444.9290342,2.27406917,NA,50.03676025,15455555,0.3
afghanistan,1995,9615.484454,2.279803924,NA,50.06097237,2019,Low-income countries,Deaths,437.5005762,2.279803924,NA,50.06097237,16418912,0.318
afghanistan,1996,9465.044125,2.284294382,NA,50.09280924,2019,Low-income countries,Deaths,430.4961659,2.284294382,NA,50.09280924,17106595,0.326
afghanistan,1997,9278.538365,2.286469945,NA,50.1262113,2019,Low-income countries,Deaths,421.9073193,2.286469945,NA,50.1262113,17788819,0.33
afghanistan,1998,9095.503885,2.285878347,NA,50.15667979,2019,Low-income countries,Deaths,413.5201965,2.285878347,NA,50.15667979,18493132,0.329
afghanistan,1999,8984.039066,2.285350076,NA,50.18889991,2019,Low-income countries,Deaths,408.3180867,2.285350076,NA,50.18889991,19262847,0.337
afghanistan,2000,8981.520553,2.284807347,NA,50.22488891,2019,Low-income countries,Deaths,408.6837998,2.284807347,NA,50.22488891,19542982,0.34
afghanistan,2001,9042.395015,2.284846345,NA,50.25979459,2019,Low-income countries,Deaths,412.3357097,2.284846345,NA,50.25979459,19688632,0.344
afghanistan,2002,9068.894589,2.288833948,NA,50.29558211,2019,Low-income countries,Deaths,414.9248383,2.288833948,NA,50.29558211,21000256,0.368
afghanistan,2003,9208.260064,2.293912643,NA,50.33083493,2019,Low-income countries,Deaths,420.4811643,2.293912643,NA,50.33083493,22645130,0.379
